route,direction,scheduled,actual,minutes_late
C,northbound,2016-03-31 15:50:31,2016-03-31 15:48:16,-2.25
C,northbound,2016-03-31 13:33:28,2016-03-31 13:29:49,-3.65
C,northbound,2016-03-31 11:09:28,2016-03-31 11:04:26,-5.033333333333333
C,northbound,2016-03-31 08:51:31,2016-03-31 08:54:29,2.966666666666667
C,northbound,2016-03-31 08:17:31,2016-03-31 08:27:36,10.083333333333334
C,northbound,2016-03-31 18:01:31,2016-03-31 18:01:57,0.43333333333333335
C,northbound,2016-03-31 15:34:31,2016-03-31 15:33:58,-0.55
C,northbound,2016-03-31 11:33:28,2016-03-31 11:30:26,-3.033333333333333
C,northbound,2016-03-31 09:10:28,2016-03-31 09:08:04,-2.4
C,northbound,2016-03-31 06:46:31,2016-03-31 06:44:13,-2.3
C,northbound,2016-03-31 08:56:31,2016-03-31 08:55:42,-0.8166666666666667
C,northbound,2016-03-31 23:30:25,2016-03-31 23:32:29,2.066666666666667
C,northbound,2016-03-31 21:15:25,2016-03-31 21:26:31,11.1
C,northbound,2016-03-31 18:57:28,2016-03-31 18:59:23,1.9166666666666667
C,northbound,2016-03-31 04:35:25,2016-03-31 04:35:43,0.3
C,northbound,2016-03-31 02:10:25,2016-03-31 02:11:44,1.3166666666666667
C,northbound,2016-03-31 15:17:31,2016-03-31 15:19:47,2.2666666666666666
C,northbound,2016-03-30 13:21:28,2016-03-30 13:16:58,-4.5
C,northbound,2016-03-30 10:57:28,2016-03-30 10:54:15,-3.216666666666667
C,northbound,2016-03-30 08:44:31,2016-03-30 08:45:30,0.9833333333333333
C,northbound,2016-03-30 06:30:31,2016-03-30 06:33:29,2.966666666666667
C,northbound,2016-03-30 00:30:25,2016-03-30 00:30:16,-0.15
C,northbound,2016-03-30 22:15:25,2016-03-30 22:26:12,10.783333333333333
C,northbound,2016-03-30 17:29:33,2016-03-30 17:37:48,8.25
C,northbound,2016-03-30 15:01:31,2016-03-30 15:06:01,4.5
C,northbound,2016-03-30 19:07:28,2016-03-30 19:06:01,-1.45
C,northbound,2016-03-30 16:54:33,2016-03-30 16:57:08,2.5833333333333335
C,northbound,2016-03-30 23:30:25,2016-03-30 23:34:27,4.033333333333333
